,zero_rate
post_aar,0.9468920291862936
post_score_answers,0.9084233859794957
post_num_answers,0.8845478895354207
pre_aar,0.8603491271820449
post_score_questions,0.8492195437332595
post_num_questions,0.8063175394846218
pre_score_answers,0.7967581047381546
post_weekly_activity_regularity,0.7501616329546504
pre_num_answers,0.6952064283735107
pre_score_questions,0.42421723469105016
pre_num_questions,0.1661124965364367
num_badges,0.06151288445552785
total_tenure,0.00023090422092915858
pre_weekly_activity_regularity,0.0
