Day,Total_Posts,Total_Questions,Total_Answers,Active_Users,Total_Unanswered_Q,Total_Accepted_Q,Sum_Len_Q,Sum_CodeLen_Q,Sum_Len_A,Sum_CodeLen_A,Sum_Len_Unanswered_Q,Sum_CodeLen_Unanswered_Q,Sum_Len_Q_with_Accepted,Sum_CodeLen_Q_with_Accepted,Sum_Answers_on_Accepted_Q,Sum_Score,Sum_Views,Sum_Comments,Sum_Readability
2021-01-01T00:00:00.000000,28.0,2,26,3.0,0.0,2.0,2560.0,354.0,28628.0,5475.0,0.0,0.0,2560.0,354.0,2.0,56.0,99.0,36.0,1930.8455800567758
2021-01-02T00:00:00.000000,50.0,2,48,8.0,0.0,2.0,1442.0,216.0,46121.0,11414.0,0.0,0.0,1442.0,216.0,2.0,77.0,444.0,68.0,2790.7085664551846
2021-01-03T00:00:00.000000,93.0,1,92,19.0,0.0,1.0,223.0,52.0,117508.0,30647.0,0.0,0.0,223.0,52.0,6.0,158.0,208.0,160.0,5838.403735231867
2021-01-04T00:00:00.000000,123.0,2,121,30.0,0.0,2.0,3976.0,1098.0,144743.0,30548.0,0.0,0.0,3976.0,1098.0,2.0,248.0,848.0,214.0,7606.12230084976
2021-01-05T00:00:00.000000,180.0,9,171,49.0,2.0,3.0,18626.0,3643.0,210296.0,47261.0,2470.0,356.0,10717.0,2486.0,3.0,375.0,2135.0,381.0,10283.1018842085
2021-01-06T00:00:00.000000,192.0,17,175,59.0,5.0,11.0,32207.0,5365.0,228949.0,47885.0,9153.0,904.0,17242.0,2638.0,13.0,368.0,5706.0,321.0,11576.126861315872
2021-01-07T00:00:00.000000,239.0,32,207,73.0,5.0,18.0,34658.0,6818.0,228583.0,52652.0,3882.0,1341.0,20834.0,3898.0,33.0,478.0,6030.0,425.0,12922.745703731778
2021-01-08T00:00:00.000000,258.0,38,220,86.0,3.0,23.0,65770.0,14061.0,311307.0,70389.0,5786.0,1004.0,37302.0,8783.0,50.0,477.0,17283.0,511.0,15086.201452093239
2021-01-09T00:00:00.000000,292.0,41,251,97.0,6.0,20.0,79537.0,17238.0,279463.0,71660.0,12160.0,2306.0,38117.0,7915.0,39.0,597.0,11014.0,546.0,16924.20735523955
2021-01-10T00:00:00.000000,302.0,37,265,102.0,4.0,22.0,55054.0,10811.0,366556.0,73438.0,6431.0,1159.0,34440.0,7474.0,30.0,538.0,13313.0,440.0,16198.077923277335
2021-01-11T00:00:00.000000,279.0,23,256,115.0,2.0,18.0,29247.0,8277.0,351348.0,71140.0,8543.0,3363.0,17653.0,4344.0,34.0,558.0,7505.0,445.0,15036.212052379118
2021-01-12T00:00:00.000000,262.0,33,229,112.0,4.0,16.0,36446.0,6928.0,289468.0,58399.0,9408.0,3045.0,15178.0,2826.0,27.0,420.0,21051.0,491.0,15226.087301577205
2021-01-13T00:00:00.000000,291.0,27,264,128.0,10.0,13.0,50642.0,10808.0,293392.0,75649.0,23297.0,4083.0,24649.0,6281.0,28.0,428.0,8643.0,487.0,15534.071265061202
2021-01-14T00:00:00.000000,303.0,51,252,146.0,7.0,32.0,80868.0,15951.0,320782.0,62641.0,10366.0,1163.0,53542.0,10142.0,65.0,573.0,14113.0,463.0,16952.605839181953
2021-01-15T00:00:00.000000,289.0,64,225,148.0,10.0,40.0,95313.0,21666.0,311688.0,73827.0,10986.0,2445.0,57863.0,12568.0,51.0,432.0,10143.0,503.0,15633.081329799217
2021-01-16T00:00:00.000000,288.0,54,234,128.0,9.0,33.0,83218.0,20362.0,323095.0,88603.0,7370.0,1580.0,63240.0,16091.0,57.0,472.0,12919.0,588.0,15790.818333491083
2021-01-17T00:00:00.000000,306.0,56,250,147.0,7.0,29.0,102808.0,17712.0,340555.0,82632.0,9784.0,1358.0,74730.0,13206.0,41.0,471.0,13042.0,486.0,17739.748370102883
2021-01-18T00:00:00.000000,294.0,39,255,142.0,6.0,23.0,63215.0,10371.0,338852.0,69829.0,12734.0,895.0,41666.0,8012.0,34.0,557.0,12972.0,464.0,16057.889766980932
2021-01-19T00:00:00.000000,332.0,50,282,174.0,12.0,27.0,59267.0,12360.0,353520.0,77218.0,19374.0,3682.0,25433.0,5759.0,40.0,560.0,10790.0,565.0,19731.216550995385
2021-01-20T00:00:00.000000,319.0,60,259,162.0,5.0,44.0,80256.0,15161.0,333453.0,75168.0,11902.0,3495.0,54544.0,9999.0,64.0,466.0,12800.0,461.0,18144.999865460937
2021-01-21T00:00:00.000000,297.0,52,245,172.0,7.0,31.0,64891.0,12045.0,309435.0,62866.0,10620.0,1720.0,41279.0,7211.0,54.0,428.0,14438.0,539.0,17390.181771163025
2021-01-22T00:00:00.000000,316.0,49,267,173.0,10.0,30.0,82797.0,16891.0,326641.0,71593.0,23496.0,3836.0,45998.0,9976.0,43.0,476.0,10947.0,526.0,19569.73287717866
2021-01-23T00:00:00.000000,316.0,62,254,160.0,11.0,37.0,88378.0,19992.0,331849.0,69382.0,14707.0,5488.0,54557.0,10178.0,56.0,441.0,13072.0,510.0,17793.430576428498
2021-01-24T00:00:00.000000,355.0,67,288,174.0,17.0,37.0,121910.0,26029.0,364453.0,78448.0,40705.0,7427.0,63993.0,14206.0,47.0,564.0,20599.0,625.0,20905.501584434696
2021-01-25T00:00:00.000000,382.0,66,316,191.0,9.0,48.0,108569.0,22411.0,435338.0,102831.0,13296.0,3368.0,76979.0,14951.0,71.0,668.0,23527.0,651.0,21578.307832171824
2021-01-26T00:00:00.000000,330.0,56,274,181.0,16.0,32.0,108766.0,21102.0,340998.0,82802.0,36341.0,7496.0,62125.0,12781.0,51.0,519.0,14576.0,543.0,18484.974083977384
2021-01-27T00:00:00.000000,361.0,64,297,187.0,15.0,33.0,104900.0,21206.0,378452.0,87899.0,23685.0,4183.0,60685.0,12812.0,53.0,777.0,25207.0,625.0,20539.257926380884
2021-01-28T00:00:00.000000,338.0,84,254,200.0,8.0,45.0,103590.0,20866.0,383546.0,87339.0,13860.0,2100.0,55679.0,11804.0,61.0,661.0,28257.0,600.0,18653.134473363567
2021-01-29T00:00:00.000000,296.0,59,237,171.0,19.0,33.0,92892.0,17500.0,311989.0,68684.0,42014.0,6751.0,42271.0,8699.0,55.0,478.0,9380.0,523.0,17284.414209928593
2021-01-30T00:00:00.000000,310.0,78,232,179.0,11.0,50.0,121292.0,20432.0,376458.0,83086.0,16899.0,3849.0,81151.0,13536.0,75.0,519.0,16730.0,501.0,16580.339132052097
2021-01-31T00:00:00.000000,360.0,80,280,191.0,16.0,53.0,127270.0,28263.0,392363.0,82302.0,31581.0,5209.0,71681.0,18068.0,88.0,583.0,20039.0,533.0,19464.553676287615
2021-02-01T00:00:00.000000,421.0,96,325,212.0,12.0,59.0,141033.0,30038.0,432471.0,102078.0,31807.0,9511.0,69616.0,15264.0,105.0,850.0,24848.0,654.0,25304.73240392788
2021-02-02T00:00:00.000000,371.0,80,291,203.0,15.0,45.0,132517.0,34405.0,378052.0,84612.0,26023.0,7163.0,78036.0,21306.0,68.0,617.0,19184.0,538.0,22187.25724372151
2021-02-03T00:00:00.000000,387.0,94,293,211.0,18.0,58.0,129221.0,25515.0,389878.0,81603.0,40290.0,9522.0,66206.0,12734.0,88.0,625.0,20794.0,794.0,24328.907438918566
2021-02-04T00:00:00.000000,380.0,91,289,203.0,19.0,48.0,135970.0,25564.0,342377.0,79060.0,39883.0,8191.0,64768.0,12183.0,68.0,556.0,25311.0,666.0,22717.281951891237
2021-02-05T00:00:00.000000,350.0,74,276,193.0,17.0,46.0,118631.0,22698.0,320436.0,72881.0,34288.0,7690.0,68218.0,13490.0,83.0,537.0,18006.0,537.0,19474.928888840834
2021-02-06T00:00:00.000000,357.0,94,263,200.0,15.0,65.0,153618.0,28699.0,430190.0,99849.0,25337.0,4666.0,102465.0,19756.0,114.0,639.0,27227.0,650.0,19923.720272662013
2021-02-07T00:00:00.000000,368.0,84,284,197.0,14.0,50.0,119664.0,24448.0,409544.0,83642.0,18111.0,3607.0,74659.0,14761.0,92.0,537.0,16808.0,666.0,21475.81113017559
2021-02-08T00:00:00.000000,382.0,94,288,206.0,13.0,60.0,150229.0,35235.0,379523.0,80892.0,26997.0,4938.0,95162.0,25043.0,101.0,710.0,40643.0,751.0,23008.92125804183
2021-02-09T00:00:00.000000,395.0,90,305,214.0,18.0,54.0,124397.0,21129.0,420700.0,96129.0,19729.0,2981.0,77780.0,14387.0,102.0,585.0,23157.0,633.0,23518.18661404164
2021-02-10T00:00:00.000000,370.0,76,294,209.0,13.0,46.0,123181.0,24487.0,419739.0,103894.0,23198.0,6275.0,79356.0,14323.0,75.0,607.0,19886.0,638.0,20941.405598401474
2021-02-11T00:00:00.000000,313.0,62,251,197.0,11.0,43.0,92617.0,17865.0,341813.0,91922.0,14952.0,3241.0,66947.0,11981.0,66.0,558.0,13482.0,454.0,17643.31939089131
2021-02-12T00:00:00.000000,356.0,89,267,203.0,17.0,52.0,132793.0,25476.0,374765.0,88487.0,30724.0,6631.0,75187.0,13949.0,78.0,667.0,24698.0,555.0,20247.282221927955
2021-02-13T00:00:00.000000,317.0,85,232,187.0,13.0,50.0,137566.0,28083.0,318498.0,71031.0,28584.0,8523.0,67825.0,13196.0,80.0,736.0,27093.0,668.0,17661.58130530365
2021-02-14T00:00:00.000000,289.0,69,220,176.0,14.0,42.0,126371.0,25556.0,301609.0,73059.0,37106.0,7779.0,70527.0,14552.0,57.0,532.0,23260.0,569.0,16441.93000884765
2021-02-15T00:00:00.000000,327.0,81,244,200.0,19.0,40.0,130631.0,29085.0,357980.0,73268.0,29464.0,5835.0,63681.0,15179.0,61.0,593.0,19497.0,511.0,17926.113672234453
2021-02-16T00:00:00.000000,361.0,95,266,220.0,19.0,60.0,141741.0,27434.0,372403.0,76373.0,34930.0,8665.0,87892.0,16511.0,89.0,639.0,42955.0,682.0,21104.727515045895
2021-02-17T00:00:00.000000,319.0,88,231,210.0,24.0,53.0,137366.0,26402.0,310514.0,79774.0,41077.0,5599.0,80592.0,17212.0,76.0,547.0,16866.0,624.0,18689.968876576953
2021-02-18T00:00:00.000000,350.0,93,257,222.0,29.0,45.0,142438.0,27461.0,333016.0,69759.0,53306.0,9925.0,68596.0,13314.0,68.0,613.0,23658.0,674.0,20479.6295634568
2021-02-19T00:00:00.000000,329.0,92,237,207.0,11.0,64.0,124227.0,23342.0,337487.0,72397.0,20762.0,3807.0,85214.0,16638.0,109.0,520.0,25080.0,616.0,17857.994371167
