Day,Total_Posts,Total_Questions,Total_Answers,Active_Users,Total_Unanswered_Q,Total_Accepted_Q,Sum_Len_Q,Sum_CodeLen_Q,Sum_Len_A,Sum_CodeLen_A,Sum_Len_Unanswered_Q,Sum_CodeLen_Unanswered_Q,Sum_Len_Q_with_Accepted,Sum_CodeLen_Q_with_Accepted,Sum_Answers_on_Accepted_Q,Sum_Score,Sum_Views,Sum_Comments,Sum_Readability
2021-01-11T00:00:00.000000,3.0,0,3,1.0,0.0,0.0,0.0,0.0,2809.0,430.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,187.96686829836835
2021-01-12T00:00:00.000000,17.0,0,17,2.0,0.0,0.0,0.0,0.0,31122.0,5076.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,32.0,746.8323487984342
2021-01-13T00:00:00.000000,10.0,0,10,2.0,0.0,0.0,0.0,0.0,27438.0,5030.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,20.0,192.72668326833178
2021-01-14T00:00:00.000000,26.0,0,26,3.0,0.0,0.0,0.0,0.0,41024.0,6205.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,55.0,1465.0324795929316
2021-01-15T00:00:00.000000,20.0,0,20,4.0,0.0,0.0,0.0,0.0,29894.0,5834.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,27.0,1271.5579106308714
2021-01-16T00:00:00.000000,23.0,0,23,5.0,0.0,0.0,0.0,0.0,25742.0,7379.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,35.0,196.32377019748088
2021-01-17T00:00:00.000000,46.0,0,46,7.0,0.0,0.0,0.0,0.0,39063.0,9887.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,80.0,1909.585998817438
2021-01-18T00:00:00.000000,46.0,0,46,7.0,0.0,0.0,0.0,0.0,34828.0,7923.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,56.0,2037.9799698941006
2021-01-19T00:00:00.000000,73.0,0,73,8.0,0.0,0.0,0.0,0.0,81714.0,17737.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,75.0,3156.720901447594
2021-01-20T00:00:00.000000,67.0,0,67,9.0,0.0,0.0,0.0,0.0,65765.0,14807.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,126.0,3962.7525331523357
2021-01-21T00:00:00.000000,47.0,0,47,9.0,0.0,0.0,0.0,0.0,54028.0,13999.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,77.0,1680.5807267943417
2021-01-22T00:00:00.000000,69.0,0,69,11.0,0.0,0.0,0.0,0.0,55913.0,17857.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,72.0,4275.995476385306
2021-01-23T00:00:00.000000,68.0,0,68,10.0,0.0,0.0,0.0,0.0,60551.0,14070.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,81.0,3795.741833117878
2021-01-24T00:00:00.000000,64.0,0,64,12.0,0.0,0.0,0.0,0.0,57331.0,13646.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,97.0,3937.1041220704324
2021-01-25T00:00:00.000000,54.0,0,54,13.0,0.0,0.0,0.0,0.0,62749.0,15796.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,86.0,2584.9400694274027
2021-01-26T00:00:00.000000,67.0,0,67,11.0,0.0,0.0,0.0,0.0,56024.0,12923.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,104.0,3710.078025199323
2021-01-27T00:00:00.000000,36.0,0,36,9.0,0.0,0.0,0.0,0.0,36437.0,7750.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,41.0,2297.0048718112503
2021-01-28T00:00:00.000000,73.0,0,73,14.0,0.0,0.0,0.0,0.0,70367.0,19640.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,109.0,4177.568158269469
2021-01-29T00:00:00.000000,74.0,0,74,14.0,0.0,0.0,0.0,0.0,71352.0,18166.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,135.0,4261.8427297619
2021-01-30T00:00:00.000000,84.0,0,84,14.0,0.0,0.0,0.0,0.0,95999.0,24997.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,132.0,4821.922010704677
2021-01-31T00:00:00.000000,78.0,0,78,15.0,0.0,0.0,0.0,0.0,91777.0,24312.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,121.0,5084.6616376581405
2021-02-01T00:00:00.000000,98.0,2,96,17.0,0.0,2.0,2918.0,118.0,95416.0,24016.0,0.0,0.0,2918.0,118.0,2.0,174.0,196.0,121.0,5867.760295007139
2021-02-02T00:00:00.000000,90.0,2,88,20.0,0.0,2.0,3594.0,1100.0,86487.0,21157.0,0.0,0.0,3594.0,1100.0,2.0,117.0,238.0,164.0,5493.045873855697
2021-02-03T00:00:00.000000,91.0,0,91,20.0,0.0,0.0,0.0,0.0,107165.0,23608.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,138.0,4651.542361813394
2021-02-04T00:00:00.000000,94.0,4,90,19.0,2.0,2.0,5269.0,1049.0,86703.0,21544.0,1757.0,663.0,3512.0,386.0,2.0,142.0,564.0,149.0,4861.124712466499
2021-02-05T00:00:00.000000,99.0,4,95,22.0,4.0,0.0,4478.0,1136.0,89004.0,22770.0,4478.0,1136.0,0.0,0.0,0.0,146.0,1466.0,165.0,5643.1174333510035
2021-02-06T00:00:00.000000,98.0,4,94,17.0,2.0,2.0,5652.0,1642.0,92056.0,27332.0,4056.0,1118.0,1596.0,524.0,2.0,178.0,3126.0,137.0,4502.0518907202495
2021-02-07T00:00:00.000000,86.0,1,85,22.0,0.0,1.0,2108.0,89.0,84753.0,21728.0,0.0,0.0,2108.0,89.0,4.0,132.0,1336.0,139.0,4385.08236441144
2021-02-08T00:00:00.000000,104.0,2,102,18.0,0.0,0.0,4388.0,984.0,93378.0,28712.0,0.0,0.0,0.0,0.0,0.0,168.0,128.0,135.0,2465.104919205884
2021-02-09T00:00:00.000000,97.0,0,97,20.0,0.0,0.0,0.0,0.0,80254.0,19178.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,128.0,5505.328508168588
2021-02-10T00:00:00.000000,125.0,2,123,24.0,0.0,2.0,1998.0,486.0,120217.0,32934.0,0.0,0.0,1998.0,486.0,4.0,189.0,846.0,183.0,7025.838949527141
2021-02-11T00:00:00.000000,130.0,6,124,26.0,0.0,6.0,6270.0,1166.0,119739.0,31215.0,0.0,0.0,6270.0,1166.0,9.0,200.0,2847.0,191.0,6760.621987171426
2021-02-12T00:00:00.000000,95.0,4,91,21.0,2.0,2.0,8602.0,2452.0,76981.0,18329.0,6080.0,1736.0,2522.0,716.0,2.0,150.0,2072.0,116.0,4738.321036219291
2021-02-13T00:00:00.000000,114.0,4,110,23.0,2.0,2.0,4780.0,1590.0,132190.0,30674.0,2598.0,424.0,2182.0,1166.0,2.0,177.0,410.0,172.0,6711.491608713631
