Day,Total_Posts,Total_Questions,Total_Answers,Active_Users,Total_Unanswered_Q,Total_Accepted_Q,Sum_Len_Q,Sum_CodeLen_Q,Sum_Len_A,Sum_CodeLen_A,Sum_Len_Unanswered_Q,Sum_CodeLen_Unanswered_Q,Sum_Len_Q_with_Accepted,Sum_CodeLen_Q_with_Accepted,Sum_Answers_on_Accepted_Q,Sum_Score,Sum_Views,Sum_Comments,Sum_Readability
2021-01-01T00:00:00.000000,6053.0,2581,3466,4505.0,446.0,1226.0,5127908.0,3428307.0,3563525.0,1840870.0,1053193.0,731192.0,2335381.0,1526490.0,1800.0,8580.0,3546615.0,9017.0,115245.40782951102
2021-01-02T00:00:00.000000,7154.0,3275,3878,5358.0,526.0,1588.0,6615557.0,4515232.0,3958152.0,2113092.0,1191314.0,825134.0,3243709.0,2213498.0,2489.0,10301.0,4174311.0,10373.0,133997.6539486835
2021-01-03T00:00:00.000000,7182.0,3424,3758,5537.0,568.0,1582.0,6695873.0,4451205.0,3635425.0,1825533.0,1337155.0,905913.0,2900179.0,1913797.0,2426.0,10098.0,5521821.0,10398.0,137497.13610326743
2021-01-04T00:00:00.000000,10156.0,4821,5332,8137.0,814.0,2178.0,9129852.0,5969626.0,5291658.0,2752929.0,1690334.0,1111631.0,4194362.0,2768863.0,3250.0,14020.0,6340359.0,14955.0,179537.25875983544
2021-01-05T00:00:00.000000,11091.0,5483,5606,8724.0,965.0,2432.0,10131093.0,6563747.0,5241013.0,2626398.0,2065400.0,1388224.0,4427326.0,2857745.0,3557.0,13451.0,6952972.0,16058.0,203461.15471353082
2021-01-06T00:00:00.000000,10731.0,5411,5320,8497.0,1029.0,2405.0,9746617.0,6282739.0,4900618.0,2473148.0,2020644.0,1304769.0,4431139.0,2885709.0,3479.0,17845.0,9218917.0,15700.0,177669.8090225095
2021-01-07T00:00:00.000000,10350.0,5276,5070,8211.0,924.0,2369.0,9468251.0,6085035.0,4714029.0,2450674.0,1831783.0,1206354.0,4069838.0,2578857.0,3481.0,13840.0,7556174.0,14666.0,181496.55081474615
2021-01-08T00:00:00.000000,10246.0,5333,4913,8259.0,958.0,2396.0,10059515.0,6568763.0,4547388.0,2339961.0,1965923.0,1297406.0,4690497.0,3112099.0,3599.0,13930.0,8046212.0,14780.0,165783.33182383006
2021-01-09T00:00:00.000000,6300.0,3286,3013,5043.0,540.0,1520.0,6381683.0,4259829.0,2790846.0,1495176.0,1168457.0,792493.0,2794792.0,1839665.0,2261.0,8885.0,4792696.0,9288.0,110502.26073151422
2021-01-10T00:00:00.000000,6118.0,3315,2800,4997.0,585.0,1525.0,6180543.0,4052811.0,2600796.0,1381828.0,1212422.0,833839.0,2838684.0,1844641.0,2267.0,8046.0,4875978.0,8954.0,107988.25868003287
2021-01-11T00:00:00.000000,10071.0,5209,4860,7785.0,873.0,2382.0,9604651.0,6296426.0,4178180.0,2109217.0,1734838.0,1125836.0,4449686.0,2909201.0,3475.0,12354.0,6589151.0,14168.0,159847.5071713833
2021-01-12T00:00:00.000000,10396.0,5484,4912,8417.0,902.0,2431.0,9922404.0,6395418.0,4188607.0,2198385.0,1874850.0,1232256.0,4165797.0,2620216.0,3660.0,12519.0,7858362.0,15017.0,163348.85519874608
2021-01-13T00:00:00.000000,10451.0,5491,4952,8580.0,949.0,2464.0,9752990.0,6190363.0,4271876.0,2129027.0,1929316.0,1240813.0,4301361.0,2705453.0,3636.0,14035.0,7210808.0,14979.0,198823.22644308826
2021-01-14T00:00:00.000000,9721.0,5263,4458,8020.0,861.0,2417.0,9284192.0,5823765.0,3870446.0,1982665.0,1710840.0,1085900.0,4281962.0,2691083.0,3523.0,12123.0,6948356.0,13728.0,179640.97881554824
2021-01-15T00:00:00.000000,9391.0,4941,4448,7686.0,804.0,2300.0,8854103.0,5634400.0,4053405.0,2077394.0,1671944.0,1075161.0,4166886.0,2661285.0,3332.0,11416.0,6387330.0,13187.0,170387.048417509
2021-01-16T00:00:00.000000,5846.0,3193,2651,4733.0,524.0,1473.0,6117639.0,4081753.0,2497947.0,1347482.0,1244236.0,868414.0,2714836.0,1784208.0,2184.0,7626.0,4477616.0,8577.0,100293.53683413246
