Day,Total_Posts,Total_Questions,Total_Answers,Active_Users,Total_Unanswered_Q,Total_Accepted_Q,Sum_Len_Q,Sum_CodeLen_Q,Sum_Len_A,Sum_CodeLen_A,Sum_Len_Unanswered_Q,Sum_CodeLen_Unanswered_Q,Sum_Len_Q_with_Accepted,Sum_CodeLen_Q_with_Accepted,Sum_Answers_on_Accepted_Q,Sum_Score,Sum_Views,Sum_Comments,Sum_Readability
2021-01-01T00:00:00.000000,178.0,0,178,19.0,0.0,0.0,0.0,0.0,176358.0,96826.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,224.0,5378.158967081279
2021-01-02T00:00:00.000000,685.0,9,676,104.0,0.0,5.0,8034.0,4181.0,679236.0,396492.0,0.0,0.0,4640.0,2055.0,9.0,904.0,14457.0,941.0,18826.726024091193
2021-01-03T00:00:00.000000,899.0,14,885,198.0,3.0,10.0,47211.0,35854.0,990454.0,558700.0,11520.0,8639.0,23269.0,15937.0,17.0,1367.0,18434.0,1331.0,22020.42407510721
2021-01-04T00:00:00.000000,1221.0,27,1192,455.0,6.0,14.0,44941.0,28433.0,1399303.0,792292.0,11724.0,8312.0,20743.0,11763.0,42.0,1805.0,54163.0,1743.0,32716.609221006445
2021-01-05T00:00:00.000000,1496.0,59,1436,436.0,9.0,41.0,168322.0,125088.0,1837989.0,1071181.0,54447.0,47259.0,99514.0,70007.0,84.0,2096.0,58394.0,2323.0,35999.5955910246
2021-01-06T00:00:00.000000,1619.0,92,1527,525.0,14.0,54.0,198261.0,140643.0,1939606.0,1105871.0,31804.0,21908.0,115809.0,82849.0,81.0,2111.0,120691.0,2270.0,37301.55694700718
2021-01-07T00:00:00.000000,1931.0,133,1796,651.0,16.0,81.0,339337.0,244232.0,2230478.0,1273177.0,45989.0,33745.0,225880.0,171503.0,139.0,2971.0,369731.0,2946.0,43013.562268487396
2021-01-08T00:00:00.000000,1815.0,125,1690,796.0,17.0,68.0,251057.0,164133.0,2157264.0,1200920.0,27855.0,16593.0,135498.0,87912.0,106.0,2673.0,329398.0,2733.0,40141.780211349665
2021-01-09T00:00:00.000000,1530.0,168,1362,637.0,19.0,100.0,331045.0,218937.0,1741084.0,968980.0,20741.0,8433.0,214267.0,145144.0,156.0,2413.0,302917.0,2268.0,36323.52683538739
2021-01-10T00:00:00.000000,1460.0,138,1322,669.0,13.0,92.0,290529.0,196493.0,1696667.0,939921.0,37103.0,26455.0,186330.0,126592.0,149.0,2334.0,232121.0,2130.0,38784.17026150621
2021-01-11T00:00:00.000000,2958.0,220,2738,917.0,18.0,126.0,445298.0,291953.0,3116565.0,1731519.0,56354.0,32612.0,265195.0,178440.0,179.0,4001.0,259712.0,4658.0,67845.62132828037
2021-01-12T00:00:00.000000,2193.0,222,1971,980.0,27.0,130.0,411467.0,266658.0,2285076.0,1253874.0,51223.0,35840.0,256162.0,168927.0,194.0,2694.0,249608.0,3306.0,48996.17447823914
2021-01-13T00:00:00.000000,2299.0,270,2026,1228.0,44.0,158.0,599408.0,434654.0,2411315.0,1323883.0,95396.0,67400.0,335256.0,233697.0,264.0,3855.0,593845.0,3483.0,53529.04385163028
2021-01-14T00:00:00.000000,2344.0,242,2102,1067.0,25.0,164.0,391379.0,233595.0,2455853.0,1324072.0,49248.0,29430.0,244575.0,145791.0,266.0,3606.0,413980.0,3508.0,43560.6778891377
2021-01-15T00:00:00.000000,2164.0,255,1909,1066.0,38.0,147.0,420700.0,258862.0,2140593.0,1134054.0,82496.0,53850.0,215190.0,126810.0,237.0,3779.0,474008.0,2945.0,54418.953953154734
2021-01-16T00:00:00.000000,1567.0,212,1353,795.0,37.0,122.0,422418.0,280476.0,1447439.0,753154.0,66449.0,36774.0,248102.0,169646.0,192.0,2115.0,299377.0,2239.0,36557.281891297556
2021-01-17T00:00:00.000000,1644.0,233,1408,835.0,26.0,138.0,433534.0,286424.0,1650392.0,910315.0,48008.0,30367.0,271852.0,185412.0,211.0,2458.0,369007.0,2345.0,40486.90034474772
2021-01-18T00:00:00.000000,2368.0,329,2036,1354.0,54.0,184.0,692536.0,471063.0,2359272.0,1307387.0,112916.0,79357.0,350613.0,238419.0,278.0,3189.0,426576.0,3483.0,44030.05380120133
2021-01-19T00:00:00.000000,2310.0,297,2011,1226.0,42.0,176.0,543575.0,361542.0,2203591.0,1164232.0,103794.0,79169.0,304787.0,191036.0,266.0,3224.0,430909.0,3361.0,45498.074835956504
2021-01-20T00:00:00.000000,3048.0,415,2631,1267.0,52.0,219.0,757253.0,497176.0,2956288.0,1565052.0,77796.0,46880.0,398536.0,253379.0,348.0,4302.0,938986.0,4790.0,60289.72898360533
2021-01-21T00:00:00.000000,2561.0,364,2194,1308.0,58.0,202.0,677460.0,442331.0,2531210.0,1404933.0,121117.0,82237.0,362349.0,231307.0,291.0,3290.0,682158.0,3781.0,54512.572244721545
2021-01-22T00:00:00.000000,2404.0,370,2034,1469.0,58.0,214.0,766561.0,523273.0,2331994.0,1288776.0,125105.0,84838.0,416573.0,277711.0,316.0,3268.0,452056.0,3580.0,45296.07412761729
2021-01-23T00:00:00.000000,1650.0,277,1373,927.0,46.0,168.0,549025.0,366929.0,1578454.0,856456.0,96399.0,64120.0,334500.0,223592.0,239.0,2255.0,357446.0,2467.0,41259.417318645326
2021-01-24T00:00:00.000000,1693.0,310,1383,924.0,35.0,199.0,640462.0,444816.0,1628669.0,850040.0,108622.0,85252.0,392406.0,264699.0,311.0,3075.0,599072.0,2486.0,42839.03507446239
2021-01-25T00:00:00.000000,2402.0,357,2043,1301.0,42.0,194.0,683103.0,458456.0,2273747.0,1220126.0,95557.0,67002.0,309723.0,194820.0,306.0,3496.0,688155.0,3190.0,48228.945354820295
2021-01-26T00:00:00.000000,2446.0,392,2054,1338.0,58.0,217.0,718241.0,470836.0,2259559.0,1211636.0,124958.0,90969.0,350134.0,212960.0,315.0,4039.0,467233.0,3475.0,48088.78489433355
2021-01-27T00:00:00.000000,2517.0,438,2078,1623.0,47.0,270.0,865911.0,595436.0,2336691.0,1262447.0,88004.0,58966.0,483230.0,309798.0,408.0,5124.0,1159768.0,3450.0,49906.83240572034
2021-01-28T00:00:00.000000,2499.0,430,2069,1375.0,67.0,214.0,820361.0,548784.0,2216017.0,1135672.0,155500.0,97851.0,377951.0,254932.0,343.0,3190.0,818891.0,3643.0,55727.55067817974
2021-01-29T00:00:00.000000,2667.0,427,2238,1306.0,52.0,255.0,835005.0,567634.0,2519809.0,1338108.0,109048.0,73108.0,541186.0,383240.0,377.0,4232.0,762908.0,3822.0,57559.58611375005
2021-01-30T00:00:00.000000,1667.0,301,1363,932.0,41.0,192.0,644578.0,448246.0,1539614.0,815011.0,159807.0,125370.0,357311.0,236666.0,289.0,2284.0,481245.0,2272.0,36262.64604532883
2021-01-31T00:00:00.000000,1646.0,331,1315,943.0,42.0,193.0,594809.0,376112.0,1443087.0,769561.0,89020.0,56233.0,363215.0,237448.0,271.0,2206.0,533797.0,2119.0,37221.73550668368
2021-02-01T00:00:00.000000,2229.0,437,1792,1467.0,54.0,268.0,929741.0,649180.0,2158809.0,1213651.0,149416.0,113660.0,558817.0,384196.0,389.0,3093.0,821795.0,3345.0,46450.908676050785
2021-02-02T00:00:00.000000,2480.0,519,1961,1454.0,72.0,275.0,966917.0,628759.0,2244205.0,1203319.0,139048.0,88112.0,511538.0,329015.0,383.0,3592.0,698611.0,3629.0,39988.76217141116
2021-02-03T00:00:00.000000,2442.0,502,1940,1451.0,79.0,291.0,962890.0,643068.0,2077628.0,1098353.0,205971.0,147359.0,526688.0,344638.0,432.0,3036.0,622061.0,3273.0,51316.247877066315
2021-02-04T00:00:00.000000,2589.0,607,1980,1477.0,85.0,352.0,1339267.0,928666.0,2209319.0,1159680.0,190364.0,125377.0,770520.0,529065.0,502.0,3351.0,1034475.0,3594.0,50465.959012505875
2021-02-05T00:00:00.000000,2316.0,471,1844,1486.0,69.0,244.0,917948.0,614170.0,2077847.0,1140908.0,193177.0,146606.0,425180.0,274534.0,369.0,3191.0,677070.0,3354.0,49076.987575856816
2021-02-06T00:00:00.000000,1587.0,349,1238,930.0,47.0,203.0,709038.0,479420.0,1513244.0,817150.0,115517.0,81723.0,405624.0,277693.0,296.0,2060.0,475255.0,2166.0,34953.82190797972
2021-02-07T00:00:00.000000,1611.0,343,1268,951.0,44.0,205.0,636373.0,419006.0,1391497.0,724674.0,105247.0,74714.0,362707.0,233137.0,309.0,1894.0,368432.0,2220.0,37802.508852666324
2021-02-08T00:00:00.000000,2891.0,575,2314,1425.0,94.0,306.0,1165848.0,797608.0,2440934.0,1253667.0,207180.0,139089.0,599044.0,410923.0,429.0,3602.0,898576.0,4173.0,53992.31595514737
2021-02-09T00:00:00.000000,2624.0,562,2062,1499.0,86.0,322.0,1054184.0,704875.0,2191307.0,1165412.0,151992.0,101893.0,631786.0,422213.0,462.0,3453.0,1047319.0,3599.0,56707.690611405415
2021-02-10T00:00:00.000000,2466.0,598,1866,1618.0,85.0,329.0,1099432.0,728668.0,2016844.0,1056523.0,196266.0,139883.0,588022.0,379023.0,478.0,3132.0,1183769.0,3555.0,56289.153713240594
2021-02-11T00:00:00.000000,2482.0,570,1909,1461.0,77.0,324.0,974404.0,602135.0,2138794.0,1175576.0,153220.0,99704.0,563023.0,358791.0,466.0,3210.0,727780.0,3801.0,46015.27760245605
2021-02-12T00:00:00.000000,2359.0,584,1774,1405.0,74.0,321.0,1099626.0,727367.0,1960314.0,1048266.0,165453.0,115034.0,571172.0,368332.0,479.0,3353.0,978077.0,3294.0,46285.11654781257
2021-02-13T00:00:00.000000,1650.0,373,1273,995.0,47.0,218.0,750513.0,510304.0,1478650.0,806400.0,105570.0,73805.0,409102.0,276280.0,325.0,3027.0,588108.0,2135.0,30939.645197225618
2021-02-14T00:00:00.000000,1571.0,399,1171,937.0,54.0,225.0,792534.0,528239.0,1400231.0,789484.0,147312.0,102482.0,444592.0,300745.0,321.0,2047.0,615705.0,2166.0,30314.2148845973
2021-02-15T00:00:00.000000,2353.0,569,1783,1511.0,83.0,308.0,1093476.0,744552.0,2088556.0,1127144.0,171558.0,113406.0,604156.0,415694.0,442.0,3843.0,909218.0,3704.0,45931.43862969777
2021-02-16T00:00:00.000000,2535.0,625,1906,1572.0,98.0,348.0,1190697.0,807893.0,2130907.0,1172841.0,190143.0,125481.0,586712.0,384756.0,513.0,3395.0,1071928.0,3540.0,50456.85898547978
2021-02-17T00:00:00.000000,3022.0,706,2316,1608.0,114.0,383.0,1345511.0,901417.0,2440377.0,1259451.0,256137.0,175181.0,733923.0,490320.0,577.0,4691.0,1822758.0,4506.0,62217.7029104584
2021-02-18T00:00:00.000000,2833.0,685,2146,1661.0,84.0,423.0,1457321.0,1003998.0,2268367.0,1252574.0,192741.0,132397.0,886097.0,608881.0,587.0,3324.0,894841.0,4048.0,56931.58065684804
2021-02-19T00:00:00.000000,2565.0,668,1897,1713.0,93.0,386.0,1251753.0,821823.0,2075349.0,1123588.0,233216.0,151017.0,665831.0,445571.0,565.0,3190.0,1013068.0,3561.0,52545.503700084795
2021-02-20T00:00:00.000000,1674.0,418,1254,1043.0,58.0,239.0,902253.0,621806.0,1467887.0,790659.0,153872.0,104733.0,521887.0,362708.0,382.0,2324.0,851923.0,2204.0,42382.84427657922
2021-02-21T00:00:00.000000,1756.0,454,1302,1034.0,66.0,238.0,866702.0,566255.0,1414643.0,757097.0,130345.0,87419.0,436654.0,284147.0,355.0,2394.0,788513.0,2319.0,34153.181633452325
2021-02-22T00:00:00.000000,2527.0,690,1836,1597.0,95.0,390.0,1363649.0,910922.0,1979114.0,1031051.0,195108.0,134306.0,784798.0,531791.0,553.0,3156.0,856152.0,3657.0,47704.34847745352
2021-02-23T00:00:00.000000,2643.0,680,1961,1652.0,109.0,363.0,1342114.0,912416.0,2040172.0,1117696.0,197877.0,120448.0,789307.0,566018.0,525.0,3468.0,1214469.0,3805.0,53133.487701497266
2021-02-24T00:00:00.000000,2686.0,729,1955,1792.0,101.0,414.0,1313027.0,869396.0,2163993.0,1205517.0,251192.0,176529.0,712016.0,475695.0,566.0,3765.0,850031.0,3743.0,48477.853332331375
2021-02-25T00:00:00.000000,2665.0,701,1962,1657.0,103.0,397.0,1329178.0,878475.0,2046398.0,1032185.0,250405.0,173578.0,750369.0,503169.0,581.0,3914.0,1136226.0,3737.0,47694.42102350696
