Day,Total_Posts,Total_Questions,Total_Answers,Active_Users,Total_Unanswered_Q,Total_Accepted_Q,Sum_Len_Q,Sum_CodeLen_Q,Sum_Len_A,Sum_CodeLen_A,Sum_Len_Unanswered_Q,Sum_CodeLen_Unanswered_Q,Sum_Len_Q_with_Accepted,Sum_CodeLen_Q_with_Accepted,Sum_Answers_on_Accepted_Q,Sum_Score,Sum_Views,Sum_Comments,Sum_Readability
2021-01-03T00:00:00.000000,55.0,0,55,3.0,0.0,0.0,0.0,0.0,37833.0,22069.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,79.0,1575.3342152512073
2021-01-04T00:00:00.000000,92.0,0,92,10.0,0.0,0.0,0.0,0.0,59357.0,38206.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,143.0,4862.783624984244
2021-01-05T00:00:00.000000,152.0,0,152,15.0,0.0,0.0,0.0,0.0,117256.0,65627.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,175.0,6668.2113059046505
2021-01-06T00:00:00.000000,234.0,0,234,21.0,0.0,0.0,0.0,0.0,187337.0,108157.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,278.0,7205.527335135637
2021-01-07T00:00:00.000000,280.0,1,279,30.0,0.0,1.0,1125.0,308.0,248745.0,140473.0,0.0,0.0,1125.0,308.0,2.0,392.0,253.0,405.0,9238.972384441877
2021-01-08T00:00:00.000000,375.0,0,373,62.0,0.0,0.0,0.0,0.0,367391.0,217878.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,503.0,10996.902704344993
2021-01-09T00:00:00.000000,298.0,0,298,51.0,0.0,0.0,0.0,0.0,332287.0,189755.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,409.0,8115.827569502806
2021-01-10T00:00:00.000000,335.0,8,327,59.0,0.0,8.0,8260.0,2874.0,363129.0,211812.0,0.0,0.0,8260.0,2874.0,18.0,842.0,80676.0,517.0,8486.79302032333
2021-01-11T00:00:00.000000,795.0,2,793,67.0,0.0,2.0,6972.0,4630.0,739454.0,442706.0,0.0,0.0,6972.0,4630.0,2.0,972.0,1826.0,1040.0,25939.896643999764
2021-01-12T00:00:00.000000,658.0,3,651,85.0,1.0,2.0,3802.0,1761.0,667945.0,420973.0,3272.0,1761.0,530.0,0.0,2.0,1023.0,31210.0,1084.0,22000.091787010137
2021-01-13T00:00:00.000000,665.0,0,665,154.0,0.0,0.0,0.0,0.0,725720.0,439083.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,958.0,20941.1857110954
2021-01-14T00:00:00.000000,628.0,0,628,110.0,0.0,0.0,0.0,0.0,793336.0,494888.0,0.0,0.0,0.0,0.0,0.0,903.0,0.0,1017.0,19584.990925852355
2021-01-15T00:00:00.000000,723.0,4,717,128.0,0.0,2.0,5772.0,1434.0,800156.0,479625.0,0.0,0.0,2302.0,892.0,6.0,942.0,1694.0,965.0,22755.031795495306
2021-01-16T00:00:00.000000,521.0,10,511,126.0,0.0,9.0,13094.0,5764.0,615912.0,337948.0,0.0,0.0,12430.0,5301.0,10.0,717.0,11153.0,756.0,14885.19173626381
2021-01-17T00:00:00.000000,603.0,4,598,136.0,0.0,0.0,6416.0,1474.0,691990.0,364047.0,0.0,0.0,0.0,0.0,0.0,1059.0,1476.0,785.0,19143.956751272464
