UserId,cluster
23001,3
23005,4
23078,3
23097,4
23171,3
23173,3
23180,3
23209,15
23229,3
18159,3
23249,3
23265,4
23290,3
24684,3
24690,3
18163,3
23304,3
24723,3
23350,3
18224,3
23373,3
23390,3
24733,3
24745,3
24753,3
24758,4
24762,14
18297,3
24795,4
24826,3
24827,16
23399,16
7659,3
7676,3
-1,-1
8,3
2596,16
18398,3
2626,3
2633,3
2643,16
18424,3
21674,3
21699,3
2656,3
18467,3
18473,4
23431,3
23439,3
12384,3
12386,3
18479,4
21719,3
21733,4
2689,3
12415,16
18550,4
18553,3
24908,16
21779,3
21783,16
23522,3
2757,3
2785,3
24947,3
24958,3
12416,3
12426,3
12434,3
2820,3
21810,4
21813,3
21820,3
2835,4
2838,3
21844,3
25077,3
23546,4
12448,16
12490,3
18647,-1
18659,3
2879,3
2884,3
2893,3
23565,3
23566,3
33,3
18685,3
21919,3
21929,4
21946,16
23611,3
12523,3
12542,4
22004,3
22016,3
22020,3
18761,16
18796,-1
22059,3
56,3
22062,3
22064,3
18817,4
2905,3
2906,3
2907,3
2915,3
2926,3
2927,15
2933,3
89,3
22102,4
25313,3
2938,3
2941,3
2947,3
96,3
18880,3
120,3
25334,3
25363,4
22196,3
130,3
136,3
12559,16
18908,3
18942,3
152,3
25375,3
25384,3
25389,3
22255,3
18966,3
18972,16
18986,3
22270,16
25406,3
163,3
173,3
22296,4
18993,3
19006,3
196,3
205,3
25445,3
22335,3
19055,3
210,16
232,3
22366,3
237,3
241,3
242,16
246,3
22388,3
7719,3
7721,3
7731,4
264,3
19147,3
22430,3
273,16
274,3
275,3
25539,3
19178,4
299,3
25554,3
25556,3
25581,-1
25589,3
3035,3
3041,3
22473,3
308,3
312,3
22491,3
3060,3
331,3
336,3
346,3
25632,3
22513,3
354,3
355,4
359,3
3111,3
367,3
22551,3
25649,3
22583,3
398,3
400,3
404,3
409,3
7859,16
7871,3
7882,3
413,3
428,4
441,3
442,3
12590,3
12594,3
7932,3
7933,3
448,3
455,3
462,3
12623,3
12642,3
475,16
7960,4
3148,3
3157,3
3163,3
498,3
12652,3
12655,-1
3196,3
3217,3
3225,3
548,3
3296,3
25732,3
8071,16
8081,3
565,3
22656,3
22675,3
23786,3
12686,3
12706,3
586,3
589,3
23794,16
23805,3
22701,3
612,16
619,3
620,3
19266,3
19298,16
622,3
628,3
630,3
632,3
633,3
640,3
19328,3
19331,3
19341,3
19345,3
19352,3
642,3
647,3
660,3
19379,3
12810,3
23875,3
3301,3
25795,16
25805,3
669,3
685,3
688,3
3341,3
23890,3
23894,3
3416,3
3425,7
695,3
702,16
707,3
19412,3
19421,3
19430,3
715,3
19440,3
19446,3
19464,4
23931,3
23936,3
23939,16
23951,3
19473,3
19498,4
742,3
751,3
752,3
12880,3
12885,3
19524,17
19532,16
19538,3
19542,3
774,3
785,3
22772,16
22773,3
19588,3
22796,3
23974,3
12932,3
19609,3
12952,3
19651,3
22857,3
22862,3
19661,3
807,4
